Name,City,Date,Time
"Australian Grand Prix","Melbourne",2019-03-17,16:10
"Bahrain Grand Prix","Sakhir",2019-04-01,02:10
"Chinese Grand Prix","Shanghai",2019-04-14,16:10
"Azerbaijan Grand Prix","Baku",2019-04-28,22:10
"Spanish Grand Prix","Catalunya",2019-05-12,23:10
"Monaco Grand Prix","Monte Carlo",2019-05-26,23:10
"Canadian Grand Prix","Montreal",2019-06-10,04:10
"French Grand Prix","Paul Ricard",2019-06-23,23:10
"Austrian Grand Prix","Spielberg",2019-06-30,23:10
"British Grand Prix","Silverstone",2019-07-14,23:10
"German Grand Prix","Hockenheim",2019-07-28,23:10
"Hungarian Grand Prix","Budapest",2019-08-04,23:10
"Belgian Grand Prix","Spa-Francorchamps",2019-09-01,23:10
"Italian Grand Prix","Monza",2019-09-08,23:10
"Singapore Grand Prix","Singapore",2019-09-22,22:10
"Russian Grand Prix","Sochi",2019-09-29,21:10
"Japanese Grand Prix","Suzuka",2019-10-13,16:10
"Mexican Grand Prix","Mexico City",2019-10-28,06:10
"United States Grand Prix","Austin",2019-11-04,06:10
"Brazilian Grand Prix","Sao Paulo",2019-11-18,05:10
"Abu Dhabi Grand Prix","Yas Marina",2019-12-02,00:10
